Post_ID;Caption_Length;ZCaption_Length;Topic_Prod_Features;Topic_Prod_Features_Positive;Topic_Prod_Features_Negative;Topic_Promo_Deal;Topic_Promo_Deal_Positive;Topic_Promo_Deal_Negative;Topic_Lifestyle_Values;Topic_Lifestyle_Values_Positive;Topic_Lifestyle_Values_Negative;Topic_CTA;Topic_CTA_Positive;Topic_CTA_Negative;Product_Category;Platform;Post_Type;Influencer_Gender;Influencer_Age;Influencer_Tier;Follower_Count_K;Caption_Sentiment;Engagement_Rate;Click_Through;Comment_Count
1;26;-0.6817;0;0;0;1;1;0;0;0;0;1;1;0;2;0;1;1;24.2;1;669.4;5;7.9;1;42
2;29;-0.5492;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;26.0;0;44.8;5;9.55;0;48
3;25;-0.7258;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;18.6;0;45.3;4;10.57;0;95
4;17;-10.792;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;23.0;0;45.9;2;9.14;1;28
5;40;-0.0632;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;31.8;0;19.1;4;6.63;0;10
6;50;0.3785;1;1;0;1;1;0;1;1;0;0;0;0;2;0;1;0;35.1;1;768.5;4;5.22;1;59
7;49;0.3343;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;20.8;1;455.8;4;7.8;1;25
8;57;0.6877;1;1;0;1;1;0;1;1;0;1;1;0;0;1;1;0;24.0;0;13.6;5;12.84;0;177
9;44;0.1135;1;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;26.9;0;13.3;4;10.25;0;125
10;27;-0.6375;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;28.4;1;519.2;4;9.47;0;56
11;58;0.7319;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;23.0;0;24.3;3;6.02;1;14
12;17;-10.792;1;1;0;1;1;0;1;1;0;0;0;0;2;1;0;0;29.1;0;42.4;5;9.28;1;19
13;22;-0.8584;1;1;0;1;1;0;1;0;0;1;0;0;0;1;0;0;24.6;0;10.4;4;9.12;1;29
14;22;-0.8584;1;1;0;0;0;0;1;1;0;1;1;0;0;0;1;0;26.9;1;503.3;3;9.73;0;71
15;66;10.853;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;29.7;1;622.8;3;2.76;0;36
16;61;0.8644;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;27.0;0;18.0;5;2.89;0;5
17;48;0.2901;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;24.8;0;27.2;4;7.09;0;36
18;66;10.853;1;1;0;0;0;0;0;0;0;1;0;0;2;1;1;0;26.5;1;549.9;3;5.91;1;89
19;23;-0.8142;1;0;0;1;1;0;0;0;0;1;1;0;1;0;0;1;26.6;1;110.1;5;7.28;0;15
20;44;0.1135;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;25.1;0;24.5;4;4.18;0;14
21;34;-0.3283;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;25.7;1;172.5;5;7.78;0;49
22;58;0.7319;1;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;35.0;0;10.2;4;9.94;0;26
23;34;-0.3283;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;1;29.8;0;29.6;4;9.05;0;29
24;30;-0.505;1;1;0;0;0;0;1;1;0;1;1;0;2;0;1;0;25.5;1;340.0;5;7.18;1;42
25;49;0.3343;1;0;1;0;0;0;1;1;0;1;1;0;1;0;0;0;30.5;0;20.5;4;7.92;0;16
26;59;0.7761;0;0;0;1;1;0;0;0;0;1;1;0;1;1;1;0;25.3;1;348.3;4;7.49;1;128
27;25;-0.7258;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;32.9;0;34.6;3;11.78;1;11
28;35;-0.2841;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;28.8;0;46.9;4;8.54;0;17
29;20;-0.9467;1;1;0;1;1;0;0;0;0;0;0;0;2;1;1;1;26.5;1;337.1;2;8.38;1;40
30;9;-14.326;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;29.2;0;30.5;3;6.46;1;11
31;41;-0.0191;1;1;0;0;0;0;0;0;0;1;1;0;2;1;0;1;19.1;1;159.0;1;5.07;1;117
32;51;0.4227;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;1;21.4;0;45.4;1;6.74;1;2
33;42;0.0251;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;21.0;0;23.0;5;7.59;0;38
34;13;-12.559;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;27.7;0;19.7;3;12.85;0;35
35;30;-0.505;1;1;0;0;0;0;0;0;0;1;1;0;2;1;1;0;35.7;1;480.4;4;9.49;1;51
36;11;-13.443;1;1;0;1;1;0;1;1;0;0;0;0;1;1;1;0;38.2;0;42.2;5;10.62;0;36
37;78;16.154;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;30.2;1;708.5;4;5.14;0;68
38;20;-0.9467;0;0;0;1;1;0;0;0;0;1;1;0;0;0;1;0;29.5;0;9.7;3;8.74;0;46
39;73;13.945;0;0;0;1;0;0;0;0;0;1;1;0;2;1;1;0;18.0;1;769.8;4;7.27;0;230
40;62;0.9086;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;24.3;0;25.9;4;7.64;1;124
41;22;-0.8584;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;23.1;1;123.5;5;9.56;1;49
42;20;-0.9467;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;23.9;1;83.0;5;8.53;1;26
43;44;0.1135;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;26.2;1;189.0;5;4.13;1;52
44;23;-0.8142;0;0;0;1;1;0;0;0;0;1;1;0;1;1;1;1;24.6;1;456.0;4;6.96;1;64
45;39;-0.1074;1;1;0;1;1;0;1;1;0;0;0;0;2;0;1;1;18.0;1;534.2;3;5.44;0;42
