CLIENT_ID,CLIENT_CREATE DATE,REGION,TRADE SECTOR,N_EMPLOYEES,ECONOMIC_POT,ECO_POT_CLASS,RISK_CAT
"00009306",2005-11-15 00:00:00,"BZ",11000,6,8659.810,"D","3d"
"00000939",2005-11-15 00:00:00,"LE",15500,2,681.260,"E","3d"
"00008321",2005-11-15 00:00:00,"LE",15500,2,681.260,"E","T8"
"00004174",2005-11-15 00:00:00,"BZ",15400,1,494.450,"E","3d"
"00012765",2005-11-15 00:00:00,"BZ",15400,1,494.450,"E","3b"
"00010364",2005-11-15 00:00:00,"BO",22000,4,9056.920,"D","3d"
"00011767",2005-11-15 00:00:00,"BL",22100,1,2264.230,"E","3d"
"00009868",2005-11-15 00:00:00,"MI",36400,12,8217.000,"D","5a"
"00012042",2005-11-15 00:00:00,"MI",36400,11,7836.000,"D","4d"
"00007573",2005-11-15 00:00:00,"BA",11000,4,6038.040,"D","3a"
"00011456",2005-11-15 00:00:00,"BZ",15400,1,494.450,"E","3a"
"00008901",2005-11-15 00:00:00,"MI",36300,24,8933.200,"D","1a"
"00007459",2005-11-15 00:00:00,"BG",11000,1,1509.510,"E","3d"
"00000858",2005-11-15 00:00:00,"CN",14400,3,1361.790,"E","3d"
"00005783",2005-11-15 00:00:00,"BL",22100,1,2264.230,"E","3d"
"00007150",2005-11-15 00:00:00,"BG",11000,1,1509.510,"E","3d"
"00003493",2005-11-15 00:00:00,"BG",11000,1,1509.510,"E","3d"
"00002077",2005-11-15 00:00:00,"CN",14400,2,907.860,"E","3d"
"00002839",2005-11-15 00:00:00,"BL",22100,1,2264.230,"E","3d"
"00010074",2005-11-15 00:00:00,"CE",11000,5,7547.540,"D","3d"
"00012490",2005-11-15 00:00:00,"CE",11000,5,7547.540,"D","3d"
"00006003",2005-11-15 00:00:00,"BG",11000,1,1509.510,"E","3a"
"00002577",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","2a"
"00008117",2005-11-15 00:00:00,"BO",22100,1,2264.230,"E","3c"
