user_id,sleep_score,day_index,is_weekend,bedtime_hour,wake_hour,sleep_duration_hours,bedtime_regularity_hours,caffeine_mg,last_caffeine_hour,alcohol_units_per_day,exercise_minutes,exercise_end_hour,screen_minutes_last_90,stress,is_sick,is_exam_week,is_holiday
1,0.7,0,0,23.4,8.6,9.2,0.2,70.4,11.7,0.4,28.3,20.4,30.4,2.7,0,0,0
1,0.9,1,0,22.5,7.6,9.1,0.4,64.4,11,0.6,21.7,15.4,29.7,2.2,0,0,0
1,0.8,2,0,22.9,8.8,9.8,0.4,40.4,9.7,0.4,12.8,17.3,22.9,2.4,0,0,0
1,0.7,3,0,23.1,7.9,8.9,0.3,77.8,16.7,2.5,17.5,17.4,53.7,2.2,0,0,0
1,0.8,4,0,22.9,7.9,9,0.3,78.4,12.3,0.5,18.2,15.8,27.6,2.8,0,0,0
1,0.9,5,1,23.5,8.8,9.3,0.3,63.6,15.5,0.5,48,18.3,4.5,2.8,0,0,0
1,0.8,6,1,23.3,8.8,9.5,0.3,35.7,11.9,0.6,19.1,18,30.1,2.6,0,0,0
1,0.8,7,0,22.1,7.4,9.4,0.5,78.1,12,0,11.8,17.4,5.1,1.5,0,0,0
1,0.8,8,0,23.2,8.3,9.2,0.4,101.5,15.9,0.2,14.6,17.6,27.6,0.6,0,0,0
1,0.7,9,0,23.7,8.8,9.2,0.5,155.1,12,0.2,3,19.8,14.1,1,0,0,0
1,0.8,10,0,22.4,7.3,8.9,0.5,168.4,12.5,0,23.6,14.8,56.9,0.5,0,0,0
1,0.8,11,0,0.5,9.7,9.2,0.8,93.7,16.6,1.1,36.7,18.8,14.2,1.3,0,0,0
1,0.8,12,1,23,8.4,9.4,0.7,86.2,14.1,0.3,25,18.6,56.4,2.8,0,0,0
1,0.8,13,1,23,8.3,9.3,0.7,90.5,14.4,0,38.9,18.8,17.9,1.7,0,0,0
1,0.7,14,0,22.8,7.9,9.1,0.6,69.9,13.8,1,0,17.6,29.4,1.2,0,0,0
1,0.8,15,0,23.4,8.7,9.3,0.6,18.6,13.7,0.3,9.2,17.4,33.7,2.9,0,0,0
1,0.8,16,0,23.4,8.6,9.2,0.6,97.6,15,0.2,26,16.7,7.3,2.1,0,0,0
1,0.8,17,0,23.1,8.2,9.2,0.5,109.2,10.7,0.3,7.4,17.1,34.6,0.9,0,0,0
1,0.7,18,0,23.4,8.2,8.8,0.2,126.2,14.6,1.5,26.1,18.7,0,2,0,0,0
1,0.8,19,1,23.4,9.1,9.7,0.3,112.6,15.4,0.4,28.5,18.5,22.8,1.4,0,0,0
1,0.8,20,1,22.7,8.4,9.7,0.3,139.3,12.2,0,28,19.5,44.9,2.2,0,0,0
1,0.8,21,0,23.6,8.9,9.3,0.3,71.8,9.9,1.1,18.1,18.2,1,0.5,0,0,0
1,0.8,22,0,23,8,9,0.3,101,14,0,0,18.1,31.9,2.1,0,0,0
1,0.8,23,0,22.9,8.2,9.3,0.3,101.2,12.2,0.2,28,19.5,32.8,1.3,0,0,0
1,0.9,24,0,22.1,7.2,9.1,0.5,20.7,9.3,0.7,20.7,18.4,44.9,1.4,0,0,0
1,0.9,25,0,22.7,7.4,8.8,0.5,44.5,12.9,3.4,4.3,18.7,35.8,0,0,0,0
1,0.8,26,1,22.6,7.8,9.2,0.4,97.1,13.2,0.5,30.4,20.4,2.8,2.4,0,1,0
1,0.6,27,1,23.1,8.7,9.5,0.4,116,13.8,0.8,10.4,18.6,1.2,0.1,1,1,0
1,0.5,28,0,23.2,8.6,9.4,0.3,13.7,13,0.3,38.1,18,28.3,3.2,1,1,0
1,0.9,29,0,22.7,8,9.2,0.3,48.8,14.3,0,35,21.8,31.8,1.3,0,1,0
1,0.8,30,0,22.7,7.3,8.7,0.3,0.4,10.8,0.7,14.2,15.3,16.8,3.4,0,1,0
